"Feature_Importance_Score","Features","Rank","LB","UB","Correlation","Sample_Size"
1.00255792824865,"X1",2,0.923075470350686,1.09941397856513,0,1000
0.0741448840774552,"X2",3,0.0625654082113584,0.093702754443968,0,1000
1.16325632614882,"X3",1,0.975576179754184,1.36266006087384,0,1000
0.0692507924015345,"X4",4,0.0580707119631128,0.0793416080733904,0,1000
0.692993456388527,"X1",2,0.62200979776206,0.793679041251898,0.5,1000
0.0688967137847295,"X2",4,0.0582860078494959,0.0784287779358493,0.5,1000
0.906044528606385,"X3",1,0.834540915783281,0.977420751995482,0.5,1000
0.0689026271023919,"X4",3,0.0604276901175065,0.0743476769644452,0.5,1000
0.424953691569061,"X1",2,0.392872321576184,0.485855120290321,0.75,1000
0.0500781658861235,"X2",4,0.0464005757802443,0.0535892130711023,0.75,1000
1.00884449101735,"X3",1,0.949803998121948,1.0874775688154,0.75,1000
0.0585425288946975,"X4",3,0.0528637134846575,0.0636892180985459,0.75,1000
0.0060971412122305,"X1",4,0.00172422756626534,0.0179822976102761,0.99,1000
0.0291870084548149,"X2",3,0.0214058876470826,0.0376801358128639,0.99,1000
1.04739621788291,"X3",1,0.965472487839683,1.10067630678066,0.99,1000
0.0440008068935767,"X4",2,0.033560340557945,0.0579771387652658,0.99,1000
