"Features","Feature_Importance_Score","Rank","LB","UB","Correlation"
"X1",-2.45302604502362,7.1,-3.79088738570707,-1.19516970117225,0
"X14",4.43420498980272,9,3.5485315033062,5.31563462844156,0
"X2",-2.22391037303242,6.2,-3.64275965108566,-0.847329915093957,0
"X3",-2.24042746009214,6.6,-3.78145304897436,-0.883970619854821,0
"X4",-2.17065514243651,6,-3.27028260007448,-1.09512504171488,0
"X5",-1.35692839100616,4.1,-3.01722642192862,0.145887041080092,0
"X6",2.97095436225677,3,1.19946024502756,4.84984859251723,0
"X7",18.8461150361962,2,15.2102634022146,22.7100863162743,0
"X8",91.1732121578821,1,77.9464178485812,103.976915743131,0
"X1",-2.90862602437484,6.7,-4.08210494523963,-1.62520003092277,0.5
"X2",-2.53151173904952,5.7,-3.8293985690374,-1.45642732746362,0.5
"X3",-3.04832808745894,7.1,-4.31019747622637,-1.89543058737997,0.5
"X4",-2.75485146487998,6.3,-3.84859315233513,-1.73315113073157,0.5
"X5",-2.0366950654473,4.2,-3.64355503950209,-0.743089837122197,0.5
"X6",3.35198607548449,3,1.0659237536207,5.41288117592492,0.5
"X7",15.9167096231972,2,12.6160580150202,19.6000119132995,0.5
"X8",90.7076668141425,1,79.0714484685271,101.685106812862,0.5
"X1",-2.8822073404892,7,-3.9770970696529,-1.74029620653881,0.75
"X2",-2.78742011895143,6.3,-4.09061053472914,-1.53564033227256,0.75
"X3",-2.89502333374095,6.5,-4.35996550633875,-1.78091241021036,0.75
"X4",-2.71251407652209,6.1,-4.08636655985324,-1.55558172870662,0.75
"X5",-1.91246653993527,4.1,-3.277310430585,-0.640021590924665,0.75
"X6",3.18377057374543,3,0.776554406447768,5.3788307852361,0.75
"X7",15.9282163538879,2,12.4345109706455,19.3255350274975,0.75
"X8",90.3141056591915,1,77.0579638305725,103.503467012247,0.75
"X1",-3.25090247565844,6.5,-4.58226102069492,-1.95931926299981,0.9
"X2",-3.25513278881967,6.4,-4.78424459763891,-1.88380395438459,0.9
"X3",-3.3007795579744,6.5,-4.52662242367116,-2.27768948048346,0.9
"X4",-3.18431519038154,6.6,-4.54705812193987,-1.82755942715423,0.9
"X5",-2.13808542509905,4,-3.78542269021833,-0.804207110573025,0.9
"X6",3.12109784564807,3,0.764094356916781,5.26786660742349,0.9
"X7",15.758591801968,2,12.5009421321973,18.8012155625706,0.9
"X8",90.7926608015086,1,79.9684492334168,103.275530431239,0.9
