"Correlation","Sample_Size","Averaged_Test_Statistic","Rejection_Rate","p_value"
0.01,1000,21.598480912638,1,0
0.01,1000,-0.00968284417058427,0,0.992274328855051
0.01,1000,21.7296685224287,1,0
0.01,1000,0.00379377346654929,0,0.996973013984951
0.5,1000,21.5943593870249,1,0
0.5,1000,1.11203525938359,0.04,0.266122990515228
0.5,1000,21.4667112099253,1,0
0.5,1000,-0.0736604146147004,0,0.941280597741876
0.75,1000,21.6913555268403,1,0
0.75,1000,2.45464530752783,0.86,0.0141023657034196
0.75,1000,21.7000419702281,1,0
0.75,1000,0.00214530074522985,0,0.998288298970067
0.99,1000,9.33059829130828,1,0
0.99,1000,5.27702626082989,1,1.31297076766401e-07
0.99,1000,21.5380640144774,1,0
0.99,1000,0.117509892566191,0,0.906456005222613
