"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB"
"X1",0.205402670754178,0.0636542414732303,0.90860550135059,7.6,-0.333716655128092,0.741392846229183
"X10",-0.526578590337733,-0.282573028677491,0.782609002507381,14.5,-0.953141113323296,-0.0759578168043749
"X11",-0.544449975396024,-0.284086425082356,0.781074052271567,15,-0.926395846984309,-0.137817757311804
"X12",-0.551529175496161,-0.269606883023307,0.792813663107927,15.2,-0.93277278680185,-0.126548584335821
"X13",-0.514308724409924,-0.239899802233955,0.812124063397013,14.1,-0.928473567157685,-0.116626544471374
"X14",-0.537340094106918,-0.29638611929324,0.778538385758657,14.3,-0.933174302441982,-0.143372691270567
"X15",-0.504528918545176,-0.238856211776584,0.815846418774924,14.3,-0.91347894794296,-0.0408500944418856
"X16",-0.470864596936732,-0.223580445519056,0.82471637265471,12.9,-0.818267229007431,-0.142973952388031
"X17",-0.530985174108922,-0.230438200312923,0.818550364853371,14.4,-0.988745831459698,-0.0242052935986684
"X18",-0.477183947549169,-0.242686349255894,0.811805033673668,13.5,-0.844116975318778,-0.168894888640704
"X19",-0.528122226861933,-0.260194223757029,0.797418437748125,14.7,-0.922324878246677,-0.167025610660716
"X2",0.212114437924924,0.115127050611237,0.885040430653926,7.5,-0.465798637230838,0.843524735760349
"X20",-0.527752006653673,-0.261237482059557,0.797189603071088,15.2,-0.95335495554404,-0.146443889303862
"X3",1.1214774649022,0.59500735970682,0.588877928271903,5.2,0.228657067020299,1.83627575929291
"X4",1.17723210018563,0.670500232766687,0.586196202595505,5,0.307164389746237,1.92635577283744
"X5",1.21772082836745,0.602136340421586,0.579255590486065,4.8,0.458572187130361,1.9153084223332
"X6",3.96931368642862,2.07211518013539,0.179447297711914,3,2.68483671737771,5.15945896353693
"X7",11.3227817324093,5.56524279066402,0.00613040019616463,2,8.61168894218589,13.9734889993319
"X8",18.8989235936937,10.0568209557477,0.000616635346264423,1,15.4569590399047,22.8404521425279
"X9",-0.581915702002031,-0.283516484960655,0.781737527096862,15.8,-0.964207503602318,-0.174086995320103
