"Features","test.statistics","p.val","rejection"
"X1",13.5194717355717,0.185933333333333,0.6
"X10",18.7740764692964,0.185711111111111,0.67
"X11",19.6223694359427,0.205977777777778,0.65
"X12",18.6367519858019,0.162511111111111,0.65
"X13",17.0766882335997,0.230622222222222,0.6
"X14",15.65307909927,0.257933333333333,0.58
"X15",18.8633999745738,0.181511111111111,0.66
"X16",16.4582258145324,0.225822222222222,0.64
"X17",19.5628692124767,0.158444444444444,0.68
"X18",17.9703104052875,0.0838888888888889,0.65
"X19",16.0572515023399,0.247155555555556,0.57
"X2",15.732563351117,0.249822222222222,0.61
"X20",18.4305701019166,0.170244444444444,0.66
"X3",23.6030526952571,0.00222222222222222,1
"X4",19.7828096061888,0.00222222222222222,1
"X5",39.1741255167251,0.00222222222222222,1
"X6",23.0745251558976,0.00222222222222222,1
"X7",40.2500007591062,0.00222222222222222,1
"X8",16.8467330683612,0.210022222222222,0.67
"X9",14.1020592780635,0.273911111111111,0.51
